cell,gene_symbol
RIAR,ser-1
RIBL,octr-1
RIBR,octr-1
RICL,dop-3
RICL,tyra-2
RICR,dop-3
RICR,tyra-2
RID,dop-1
RID,ser-2
RID,ser-3
RID,tyra-2
RIFL,tyra-3
RIFR,tyra-3
RIGL,dop-1
RIGL,dop-2
RIGL,dop-3
RIGL,octr-1
RIGL,ser-2
RIGL,ser-4
RIGL,tyra-2
RIGL,tyra-3
RIGR,dop-1
RIGR,dop-2
RIGR,dop-3
RIGR,octr-1
RIGR,ser-2
RIGR,ser-4
RIGR,tyra-2
RIGR,tyra-3
RIH,ser-1
RIH,ser-5
RIH,ser-6
RIML,dop-1
RIML,dop-2
RIML,ser-3
RIML,ser-4
RIML,ser-5
RIML,tyra-3
RIMR,dop-1
RIMR,dop-2
RIMR,ser-3
RIMR,ser-4
RIMR,ser-5
RIMR,tyra-3
RIPL,dop-1
RIPL,octr-1
RIPL,ser-1
RIPL,ser-4
RIPL,ser-5
RIPR,dop-1
RIPR,octr-1
RIPR,ser-1
RIPR,ser-4
RIPR,ser-5
RIR,ser-1
RIR,ser-4
RIR,ser-5
RIS,dop-1
RIS,dop-3
RIS,ser-4
RIS,ser-7
RIVL,dop-1
RIVL,ser-2
RIVL,tyra-3
RIVR,dop-1
RIVR,ser-2
RIVR,tyra-3
RMDDL,ser-5
RMDDR,ser-5
RMDL,ser-4
RMDL,ser-5
RMDL,tyra-3
RMDR,ser-4
RMDR,ser-5
RMDR,tyra-3
RMDVL,ser-5
RMDVR,ser-5
RMED,ser-2
RMED,ser-3
RMED,ser-7
RMEL,ser-2
RMEL,ser-5
RMER,ser-2
RMER,ser-5
RMEV,ser-2
RMEV,ser-3
RMEV,ser-7
RMFL,dop-1
RMFL,dop-2
RMFL,ser-4
RMFL,tyra-2
RMFR,dop-1
RMFR,dop-2
RMFR,ser-4
RMFR,tyra-2
RMGL,octr-1
RMGR,octr-1
RMHL,dop-4
RMHR,dop-4
SAADL,ser-4
SAADL,tyra-2
SAADL,tyra-3
SAADR,ser-4
SAADR,tyra-2
SAADR,tyra-3
SAAVL,ser-4
SAAVL,tyra-2
SAAVL,tyra-3
SAAVR,ser-4
SAAVR,tyra-2
SAAVR,tyra-3
SABD,dop-3
SABVL,dop-3
SABVR,dop-3
SDQL,ser-2
SDQR,ser-2
SIADL,dop-2
SIADL,dop-3
SIADL,ser-3
SIADL,ser-4
SIADR,dop-2
SIADR,dop-3
SIADR,ser-3
SIADR,ser-4
SIAVL,dop-2
SIAVL,dop-3
SIAVL,ser-3
SIAVL,ser-4
SIAVR,dop-2
SIAVR,dop-3
SIAVR,ser-3
SIAVR,ser-4
SIBDL,ser-2
SIBDR,ser-2
SIBVL,ser-2
SIBVR,ser-2
SMBDL,octr-1
SMBDL,ser-2
SMBDL,ser-5
